created_at,username,text,likes,retweets,hashtags
Tue Nov 05 05:30:45 +0000 2019,alferdez,"RT @alferdezprensa: @alferdez @PedroBriegerOk @C5N 📺 ""Todos los líderes del mundo con los que he hablado son muy comprensivos de la situaci…",0,379,[]
Tue Nov 05 02:30:15 +0000 2019,alferdez,Con el presidente @lopezobrador_ compartimos la misma visión sobre los desafíos que América Latina enfrenta. Ambos valoramos la institucionalidad y la democracia tanto como la igualdad y la equidad.  Le agradezco su generosidad y compromiso. Tenemos muchas cosas por hacer juntos. https://t.co/o1TIi9Qbnu,11421,2741,[]
Mon Nov 04 21:47:05 +0000 2019,alferdez,EN VIVO | conferencia de prensa desde México https://t.co/18O07xbF8P,7735,2520,[]
Sun Nov 03 16:55:47 +0000 2019,alferdez,RT @Gatosylvestre: Es increible la campaña que el periodismo oficialista le esta haciendo (en contra) a @VilmaIbarraL porque marco diferenc…,0,606,[]
Sat Nov 02 22:24:15 +0000 2019,alferdez,"En una sociedad que nos educó para la vergüenza, ser libres es la mejor respuesta.   Vamos a construir una Argentina con más derechos, en la que reinen el amor y la igualdad. Vamos a construir una Argentina para todos, todas y todes.  #Orgullo https://t.co/ocibpdPBhj",80912,17243,[Hashtag(Text='Orgullo')]
Sat Nov 02 01:35:37 +0000 2019,alferdez,"Recibí el llamado de @realDonaldTrump, que me comunicó que instruyó al FMI para que trabajemos juntos para resolver el problema de nuestra deuda.  Le agradecí por su importante gesto y le transmití mi intención de mantener una relación madura y cordial con los Estados Unidos.",52999,6535,[]
Sat Nov 02 01:25:43 +0000 2019,alferdez,"Agradezco a la canciller de Alemania, Angela Merkel, por sus palabras. Ansío que podamos potenciar la sociedad no solo entre nuestros países sino entre el Mercosur y la Unión Europea, siempre garantizando la protección de los sectores más vulnerables. https://t.co/MVumnyanb6",11574,2086,[]
Sat Nov 02 01:16:55 +0000 2019,alferdez,"Gracias a Daniel Ortega y a Rosario Murillo, presidente y vicepresidenta de Nicaragua, por la carta de felicitación que me enviaron. Espero que en esta nueva etapa podamos afianzar nuestros lazos. https://t.co/Cg0GW5SMTV",8353,2061,[]
Fri Nov 01 19:53:09 +0000 2019,alferdez,"Pepe siempre dice una frase: ""Hay que andar por la vida ligero de equipaje, entonces uno vive más libre"".   El éxito no es juntar dinero. El éxito es ser querido por los otros. Eso nos hace ricos: el amor del otro. La fortuna va y viene. https://t.co/y7ePwTDaKN",33781,7939,[]
Fri Nov 01 14:55:48 +0000 2019,alferdez,Lo que va a salvar a la Argentina es recuperar su industria y que todos los argentinos vuelvan a trabajar. Ese es el primer paso para crecer y ponernos de pie otra vez.  #ArgentinaDePie https://t.co/bG25po53H7,14218,3673,[Hashtag(Text='ArgentinaDePie')]
